":ID",":LABEL","citation","type","lane"
"RULE_380","Rule","MCR","MCR",""
"RULE_381","Rule","MCR","MCR",""
"RULE_382","Rule","MCR","MCR",""
"RULE_383","Rule","MCR","MCR",""
"RULE_384","Rule","MCR","MCR",""
"RULE_385","Rule","MCR","MCR",""
"RULE_386","Rule","MCR","MCR",""
"RULE_387","Rule","MCR","MCR",""
"RULE_388","Rule","MCR","MCR",""
"RULE_389","Rule","MCR","MCR",""
"RULE_390","Rule","MCR","MCR",""
"RULE_391","Rule","MCR","MCR",""
"RULE_392","Rule","MCR","MCR",""
"RULE_393","Rule","MCR","MCR",""
"RULE_394","Rule","MCR","MCR",""
"RULE_395","Rule","MCR","MCR",""
"RULE_396","Rule","MCR","MCR",""
"RULE_397","Rule","MCR","MCR",""
"RULE_398","Rule","MCR","MCR",""
"RULE_399","Rule","MCR","MCR",""
"RULE_400","Rule","MCR","MCR",""
"RULE_401","Rule","MCR","MCR",""
"RULE_402","Rule","MCR","MCR",""
"RULE_403","Rule","MCR","MCR",""
"RULE_404","Rule","MCR","MCR",""
"RULE_405","Rule","MCR","MCR",""
"RULE_406","Rule","MCR","MCR",""
"RULE_407","Rule","MCR","MCR",""
"RULE_408","Rule","MCR","MCR",""
"RULE_409","Rule","MCR","MCR",""
"RULE_410","Rule","MCR","MCR",""
